ATPTZ|016662108|2007-12-20 00:00:00|0.03|0.03|0.03|0.03|10114
FCY|361106107|2007-12-20 00:00:00|22.65|22.65|21.86|22.09|3300
VOE|922908512|2007-12-20 00:00:00|52.91|52.99|52.31|52.99|60400
VCR|\N|2007-12-20 00:00:00|53.43|53.56|52.81|53.56|73200
NBF|65488W103|2007-12-20 00:00:00|2.19|2.25|2.05|2.16|434700
MYY|74347R800|2007-12-20 00:00:00|60.1|60.6|59.61|59.62|27400
CFM|12525R101|2007-12-20 00:00:00|8.08|8.15|8.08|8.1|3100
XETA|983909102|2007-12-20 00:00:00|4.25|4.33|4.24|4.33|4000
OBAS|M7524R108|2007-12-20 00:00:00|2.92|2.92|2.9|2.9|8600
NTSC|638104109|2007-12-20 00:00:00|6.66|6.75|6.55|6.56|11060
FSLR|336433107|2007-12-20 00:00:00|249.04|251.24|241.24|245.6|2875214
WNWN|976512103|2007-12-20 00:00:00|0.012|0.012|0.012|0.012|2000
RFNS|75954D109|2007-12-20 00:00:00|0.005|0.007|0.005|0.007|45100
GTS|896749108|2007-12-20 00:00:00|19.47|19.48|18.97|19.03|171600
MRA|59021V110|2007-12-20 00:00:00|11.34|11.34|11.28|11.33|9100
PRAI|69353C101|2007-12-20 00:00:00|30.47|30.58|30.47|30.53|365858
PRPM|743429102|2007-12-20 00:00:00|0.08|0.08|0.07|0.075|259925
MLTO|\N|2007-12-20 00:00:00|0.06|0.06|0.06|0.06|2600
LNKE|535763106|2007-12-20 00:00:00|0.02|0.02|0.02|0.02|5000
LFTC|53219K101|2007-12-20 00:00:00|0.0003|0.0003|0.0003|0.0003|6165
LBTE|530129204|2007-12-20 00:00:00|0.015|0.015|0.015|0.015|5000
KWIC|489399204|2007-12-20 00:00:00|43.0|44.0|41.76|42.16|2700
IFSL|451600100|2007-12-20 00:00:00|0.0001|0.0002|0.0001|0.0002|54323101
HBSL|441936101|2007-12-20 00:00:00|0.003|0.003|0.003|0.003|10000
DIAC|252831102|2007-12-20 00:00:00|0.6|0.6|0.45|0.45|6700
CYPM|23266M102|2007-12-20 00:00:00|0.0009|0.0009|0.0009|0.0009|2500
CHAT|161723101|2007-12-20 00:00:00|0.013|0.013|0.01|0.01|80000
BGTH|10845P102|2007-12-20 00:00:00|0.2|0.25|0.2|0.25|1680
AQUA|03840N107|2007-12-20 00:00:00|0.2|0.21|0.2|0.205|103527
ADNW|05270Q104|2007-12-20 00:00:00|0.17|0.17|0.17|0.17|16150
VERA|923351100|2007-12-20 00:00:00|0.74|0.75|0.7|0.72|35850
SHNL|824568109|2007-12-20 00:00:00|6.3|6.3|6.25|6.3|3840
TOD|889039103|2007-12-20 00:00:00|20.05|20.09|19.889|20.0|2300
TAI|893506105|2007-12-20 00:00:00|18.5|18.518|18.2601|18.2601|13900
NIS|654655109|2007-12-20 00:00:00|1.15|1.15|1.09|1.09|28000
BNV|088115100|2007-12-20 00:00:00|20.0999|20.0999|20.0|20.0|300
TNCC|88043P108|2007-12-20 00:00:00|24.06|24.2499|24.05|24.05|33000
STMF|852685106|2007-12-20 00:00:00|1.3|1.35|1.3|1.31|30385
HCPC|PSEUDO1390699|2007-12-20 00:00:00|0.0004|0.0004|0.0003|0.0004|136226591
ABVT|591689104|2007-12-20 00:00:00|74.5|76.0|74.5|76.0|2212
VOSI|92905P107|2007-12-20 00:00:00|0.1|0.11|0.1|0.105|68371
RPMM|749695201|2007-12-20 00:00:00|0.1|0.1|0.1|0.1|200
RDUFF|750468100|2007-12-20 00:00:00|0.39|0.405|0.39|0.396|10700
MXEH|577741101|2007-12-20 00:00:00|2.55|2.63|2.53|2.63|10158
MMCV|59508T109|2007-12-20 00:00:00|0.05|0.05|0.035|0.035|80000
LGDI|\N|2007-12-20 00:00:00|0.9|0.95|0.9|0.95|11000
INKS|45727E106|2007-12-20 00:00:00|0.5|0.54|0.5|0.5|74200
HYDI|449001106|2007-12-20 00:00:00|1.21|1.35|1.21|1.35|20400
FCEC|31947W100|2007-12-20 00:00:00|17.25|17.25|17.1|17.25|2974
EZEN|302311105|2007-12-20 00:00:00|0.67|0.67|0.66|0.66|10250
EMGP|29089V203|2007-12-20 00:00:00|3.25|3.25|3.25|3.25|1000
CCRE|134705102|2007-12-20 00:00:00|0.23|0.23|0.23|0.23|4000
TERA|88077T109|2007-12-20 00:00:00|0.0005|0.0005|0.0005|0.0005|28469
PSGR|715310108|2007-12-20 00:00:00|0.03|0.03|0.03|0.03|8500
IBSS|45810X102|2007-12-20 00:00:00|0.035|0.035|0.025|0.03|74500
HMYRQ|422893107|2007-12-20 00:00:00|0.0011|0.0015|0.0011|0.0011|38700
TSEO|895665107|2007-12-20 00:00:00|16.0|16.0|16.0|16.0|942
NXN|67063V104|2007-12-20 00:00:00|12.9|13.16|12.87|13.07|7200
SCX|855668109|2007-12-20 00:00:00|16.0|16.75|16.0|16.75|14400
RDI.B|755408200|2007-12-20 00:00:00|10.3|10.3|10.3|10.3|1000
NCL|67061U108|2007-12-20 00:00:00|12.91|12.9101|12.7|12.76|33400
PDL.A|741004105|2007-12-20 00:00:00|5.99|5.9901|5.99|5.9901|500
HMG|404232100|2007-12-20 00:00:00|10.4|10.4|10.2|10.2|200
SMKY|832677108|2007-12-20 00:00:00|0.97|0.97|0.9|0.9|2600
INBG|459190104|2007-12-20 00:00:00|0.0075|0.0075|0.0075|0.0075|235000
CPMM|16947V103|2007-12-20 00:00:00|0.14|0.1648|0.14|0.1648|11900
CNVT|12660F102|2007-12-20 00:00:00|0.075|0.075|0.075|0.075|4500
CLSI|179818109|2007-12-20 00:00:00|0.016|0.016|0.016|0.016|2250
CLBC|19738Q101|2007-12-20 00:00:00|15.0|15.0|14.55|14.55|2386
AMAR|02301P106|2007-12-20 00:00:00|0.285|0.3|0.285|0.29|8533
ABL|024591109|2007-12-20 00:00:00|4.34|4.34|4.05|4.34|1200
YIWA|98583W108|2007-12-20 00:00:00|0.028|0.028|0.025|0.025|421125
MYRG|599788106|2007-12-20 00:00:00|0.0011|0.002|0.0011|0.002|633000
DKGR|26144G106|2007-12-20 00:00:00|0.006|0.006|0.005|0.006|742000
VTRQU|\N|2007-12-20 00:00:00|8.15|8.15|8.15|8.15|10300
VBTC|92909L102|2007-12-20 00:00:00|0.08|0.08|0.08|0.08|24500
VCBP|919518100|2007-12-20 00:00:00|15.0|15.0|15.0|15.0|1987
TSSR|88825M109|2007-12-20 00:00:00|0.067|0.075|0.055|0.075|44000
TRNT|893782102|2007-12-20 00:00:00|1.12|1.12|1.08|1.08|11290
TENF|88033A103|2007-12-20 00:00:00|0.18|0.18|0.17|0.17|47125
STQN|86269D106|2007-12-20 00:00:00|0.5|0.5|0.5|0.5|850
SRVN|836081109|2007-12-20 00:00:00|0.07|0.07|0.07|0.07|5000
SRCO|84657R209|2007-12-20 00:00:00|0.036|0.036|0.035|0.035|28200
ARIS|001930205|2007-12-20 00:00:00|1.5|1.5|1.5|1.5|1650
ABKB|02451T106|2007-12-20 00:00:00|0.1|0.1|0.095|0.1|28638
ADMH|00723N105|2007-12-20 00:00:00|0.0028|0.004|0.0022|0.0028|918150
ZLST|98920P105|2007-12-20 00:00:00|0.16|0.16|0.15|0.15|14000
MDSM|58501F108|2007-12-20 00:00:00|0.15|0.16|0.15|0.16|11000
MOBL|60742E205|2007-12-20 00:00:00|0.0033|0.0043|0.0031|0.0042|9455993
FULO|359851102|2007-12-20 00:00:00|0.04|0.04|0.04|0.04|19000
FLWE|314347105|2007-12-20 00:00:00|0.028|0.029|0.025|0.026|364053
CZBC|172950107|2007-12-20 00:00:00|17.45|17.5|17.45|17.5|400
CMHS|20466X102|2007-12-20 00:00:00|0.016|0.016|0.011|0.011|40000
CMPD|204914402|2007-12-20 00:00:00|0.46|0.49|0.46|0.49|4000
CKFB|12561J104|2007-12-20 00:00:00|14.5|14.5|14.5|14.5|125
CGXP|15672C108|2007-12-20 00:00:00|1.14|1.2|1.02|1.2|19375
WSCC|941872103|2007-12-20 00:00:00|2.06|2.06|1.98|1.98|19598
TRISW|895578110|2007-12-20 00:00:00|0.1202|0.1202|0.1202|0.1202|5500
GPSN|383870102|2007-12-20 00:00:00|0.053|0.055|0.052|0.053|368970
PTIL|G7274D108|2007-12-20 00:00:00|11.0|11.0|11.0|11.0|200
MRAE|60461U109|2007-12-20 00:00:00|1.04|1.04|1.04|1.04|100
KENT|490560208|2007-12-20 00:00:00|2.01|2.01|2.01|2.01|952
IFSB|453432106|2007-12-20 00:00:00|7.0|7.0|7.0|7.0|200
CMKT|14030N104|2007-12-20 00:00:00|0.98|1.03|0.98|1.03|55800
ADGD|034422204|2007-12-20 00:00:00|0.011|0.02|0.011|0.015|458500
UNNF|907647101|2007-12-20 00:00:00|11.0|11.0|10.6|10.6|1600
SMGY|83169V104|2007-12-20 00:00:00|0.3|0.33|0.3|0.32|135198
PPID|740925102|2007-12-20 00:00:00|0.075|0.075|0.075|0.075|2145
NIVM|63654V108|2007-12-20 00:00:00|0.7|0.7|0.65|0.68|101000
DLTM|247734205|2007-12-20 00:00:00|0.028|0.028|0.028|0.028|15000
DJCO|233912104|2007-12-20 00:00:00|41.25|41.25|41.25|41.25|100
DCAP|233065200|2007-12-20 00:00:00|1.41|1.71|1.22|1.33|2039
CSLMF|20950N107|2007-12-20 00:00:00|1.11|1.11|1.11|1.11|900
CNAF|202217105|2007-12-20 00:00:00|16.85|16.85|16.75|16.76|1251
SWHI|835637109|2007-12-20 00:00:00|18.0|18.5|18.0|18.25|5900
SYVT|\N|2007-12-20 00:00:00|0.8|0.8|0.8|0.8|8750
IHCH|45821T108|2007-12-20 00:00:00|0.23|0.23|0.23|0.23|11500
TADF|87356M108|2007-12-20 00:00:00|0.055|0.06|0.051|0.06|81150
SHLP|81222P106|2007-12-20 00:00:00|0.12|0.14|0.1|0.13|108450
RLGT|75025X100|2007-12-20 00:00:00|0.35|0.35|0.35|0.35|500
GLLA|688400100|2007-12-20 00:00:00|0.7|0.7|0.58|0.7|4390
GFAM|38983E100|2007-12-20 00:00:00|0.07|0.07|0.07|0.07|10000
GBGD|37933T209|2007-12-20 00:00:00|0.4|0.4|0.4|0.51|1750
GACF|378964100|2007-12-20 00:00:00|0.42|0.42|0.38|0.41|132600
FOFN|350891107|2007-12-20 00:00:00|16.0|16.0|15.6|15.6|1530
FMBH|320866106|2007-12-20 00:00:00|26.5|26.75|26.15|26.75|4350
EQST|29271F107|2007-12-20 00:00:00|1.04|1.15|1.04|1.15|855
DLNO|245534102|2007-12-20 00:00:00|7.01|7.01|7.01|7.01|100
CXBT|15640A101|2007-12-20 00:00:00|13.45|13.45|13.45|13.45|145
CSXB|16943G100|2007-12-20 00:00:00|1.25|1.25|1.25|1.25|200
CPYE|21032P102|2007-12-20 00:00:00|0.033|0.033|0.033|0.033|15000
ARME|042259101|2007-12-20 00:00:00|0.012|0.012|0.011|0.011|69300
STZ.B|21036P207|2007-12-20 00:00:00|24.24|24.24|23.89|24.07|600
SAB|40048P104|2007-12-20 00:00:00|38.51|38.51|38.51|38.51|100
STWG|78484R101|2007-12-20 00:00:00|0.05|0.053|0.0499|0.053|85000
VEDO|927118109|2007-12-20 00:00:00|0.04|0.05|0.04|0.05|1700
MAUG|577344104|2007-12-20 00:00:00|0.035|0.04|0.035|0.04|38418
CCPCN|14007R401|2007-12-20 00:00:00|24.6|24.71|24.51|24.51|700
WCAP|973859101|2007-12-20 00:00:00|0.008|0.01|0.003|0.01|137950
SGNC|801006107|2007-12-20 00:00:00|0.07|0.07|0.065|0.065|30500
TYCO|876791104|2007-12-20 00:00:00|5.75|5.75|5.75|5.75|500
SPMP|85516C101|2007-12-20 00:00:00|0.0009|0.0012|0.0009|0.001|623033
PYSJ|70437E204|2007-12-20 00:00:00|3.0|3.0|3.0|3.0|200
MSRM|60743B101|2007-12-20 00:00:00|0.14|0.17|0.13|0.17|70665
USPR|\N|2007-12-20 00:00:00|0.161|0.32|0.161|0.32|2200
SKCO|78668E108|2007-12-20 00:00:00|0.28|0.28|0.28|0.28|3000
SIRC|82967C102|2007-12-20 00:00:00|0.037|0.038|0.035|0.035|184300
CYPE|156661100|2007-12-20 00:00:00|0.66|0.66|0.6|0.6|46600
LXRA|52886N109|2007-12-20 00:00:00|0.88|0.88|0.7|0.75|10400
LDTI|525399101|2007-12-20 00:00:00|0.033|0.033|0.033|0.033|2000
KTYB|491203105|2007-12-20 00:00:00|32.25|32.25|32.25|32.25|200
KWPW|\N|2007-12-20 00:00:00|1.65|1.7|1.001|1.65|25000
JUVF|482016102|2007-12-20 00:00:00|20.5|20.5|20.5|20.5|604
KRBF|50077A100|2007-12-20 00:00:00|0.3|0.31|0.3|0.3|57912
IVOT|46589H104|2007-12-20 00:00:00|0.001|0.0022|0.001|0.0022|70203056
IDCOE|303094106|2007-12-20 00:00:00|0.025|0.025|0.02|0.02|23000
ICPW|463013102|2007-12-20 00:00:00|0.4|0.4|0.4|0.4|25000
